name_marvel,number_marvel,id_marvel,align_marvel,eye_marvel,hair_marvel,sex_marvel,gsm,alive,appearances_marvel,firstappearances_marvel,year_marvel,yearsgrouped_marvel,femalepercentage_marvel,firstfemaleappearance percentage_marvel,year,gender_f,alignmentpercentage_f,gender_m,alignmentpercentage_m,Column1,,lgbt_12,year_lgbt_12,Count_universe_12,,lgbt,year_lgbt,Count_universe,,name_dc,number_dc,id_dc,align_dc,eye_dc,hair_dc,sex_dc,gsm_dc,alive_dc,appearances_dc,firstappearances_dc,year_dc,yearsgrouped_dc,femalepercentage_dc,firstfemaleappearance percentage_dc,Year_1,Column_f,Value_f,Column1,Column_m,Value_m
Clytemnestra Erwin (Earth-616),1054,Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Female Characters,,Deceased Characters,35,Jun-83,1983,,,,,,,,,,,,1962,0,,,,,,Sam Simeon (New Earth),1054,Secret Identity,Good Characters,Hazel Eyes,Black Hair,Male Characters,,Living Characters,26,"1968, September",1968,,,,,,,,,
Morley Erwin (Earth-616),1055,Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,35,Mar-83,1983,,,,,,,,,,,,1962,0,,,,,,Myron Victor (New Earth),1055,,Good Characters,,Brown Hair,Male Characters,,Living Characters,26,"1966, June",1966,,,,,,,,,
Haroun ibn Sallah al-Rashid (Earth-616),1056,Secret Identity,Neutral Characters,Black Eyes,Black Hair,Male Characters,,Deceased Characters,35,Jun-84,1984,,,,,,,,,,,,1962,0,,,,,,Evil Star (New Earth),1056,Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,26,"1965, June",1965,,,,,,,,,
Gustav Krueger (Earth-616),1057,Secret Identity,Bad Characters,Brown Eyes,Grey Hair,Male Characters,,Deceased Characters,35,Oct-85,1985,,,,,,,,,,,,1962,0,,,,,,Richard Rawlins (New Earth),1057,Public Identity,Good Characters,,Blond Hair,Male Characters,,Living Characters,26,"1961, May",1961,,,,,,,,,
Foreigner (Earth-616),1058,,,Brown Eyes,Black Hair,Male Characters,,Living Characters,35,Jun-86,1986,,,,,,,,,,,,1962,0,,,,,,Susan Williams (New Earth),1058,Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,26,"1961, December",1961,,,,,,,,,
Kim Il Sung (Earth-616),1059,Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,35,Oct-86,1986,,,,,,,,,,,,1962,0,,,,,,Celia Penbrook (New Earth),1059,Public Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,26,"1955, September",1955,,,,,,,,,
Carl Burbank (Earth-616),1060,Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,35,Dec-87,1987,,,,,,,,,,,,1962,0,,,,,,Thomas Rogers (New Earth),1060,Secret Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,26,"1942, January",1942,,,,,,,,,
Frank Bohannan (Earth-616),1061,Secret Identity,Bad Characters,White Eyes,White Hair,Male Characters,,Deceased Characters,35,Mar-87,1987,,,,,,,,,,,,1962,0,,,,,,Wonder Boy (Earth-X),1061,,,,Black Hair,Male Characters,,Living Characters,26,"1940, July",1940,,,,,,,,,
Gordon Fraley (Earth-616),1062,,Bad Characters,Red Eyes,,Male Characters,,Living Characters,35,Jan-88,1988,,,,,,,,,,,,1962,0,,,,,,Wotan (New Earth),1062,Secret Identity,Bad Characters,Black Eyes,Green Hair,Male Characters,,Living Characters,26,"1940, May",1940,,,,,,,,,
Madeline Naylor (Earth-616),1063,Public Identity,Neutral Characters,,Strawberry Blond Hair,Female Characters,,Living Characters,35,Sep-88,1988,,,,,,,,,,,,1962,0,,,,,,Marco Polo (New Earth),1063,Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,26,"1938, June",1938,,,,,,,,,
Charlotte Jones (Earth-616),1064,Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,35,Feb-90,1990,,,,,,,,,,,,1962,0,,,,,,Joseph Higgins (New Earth),1064,Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,25,"2009, July",2009,,,,,,,,,
Phoebe Marrs (Earth-616),1065,Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,35,Apr-90,1990,,,,,,,,,,,,1962,0,,,,,,Wildstar (New Earth),1065,Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,25,"2009, May",2009,,,,,,,,,
Scott Wright (Earth-616),1066,Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,35,Nov-91,1991,,,,,,,,,,,,1962,0,,,,,,Kryb (New Earth),1066,Public Identity,Bad Characters,Black Eyes,Black Hair,Female Characters,,Deceased Characters,25,"2007, August",2007,,,,,,,,,
Mikhail Rasputin (Earth-616),1067,Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,35,Feb-92,1992,,,,,,,,,,,,1962,0,,,,,,Helena Kyle (New Earth),1067,Public Identity,Neutral Characters,Green Eyes,Brown Hair,Female Characters,,Living Characters,25,"2006, May",2006,,,,,,,,,
Peter Parker (Doppelganger) (Earth-616),1068,Secret Identity,Bad Characters,White Eyes,No Hair,Male Characters,,Living Characters,35,Jun-92,1992,,,,,,,,,,,,1962,0,,,,,,Alvin Rusch (New Earth),1068,Public Identity,Neutral Characters,Brown Eyes,,Male Characters,,Living Characters,25,"2004, July",2004,,,,,,,,,
Zoe Culloden (Earth-616),1069,Secret Identity,,Blue Eyes,Blond Hair,Female Characters,,Living Characters,35,Mar-94,1994,,,,,,,,,,,,1962,0,,,,,,Damon Matthews (New Earth),1069,Public Identity,Good Characters,,Blond Hair,Male Characters,Homosexual Characters,Living Characters,25,"2004, October",2004,,,,,,,,,
Peter Parker (Spidercide) (Earth-616),1070,Secret Identity,Bad Characters,Hazel Eyes,Brown Hair,Male Characters,,Deceased Characters,35,Mar-95,1995,,,,,,,,,,,,1962,0,,,,,,Manitou Dawn (New Earth),1070,Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,25,"2003, January",2003,,,,,,,,,
Devon Lewis (Earth-616),1071,Public Identity,,Brown Eyes,Black Hair,Male Characters,,Living Characters,35,Jan-96,1996,,,,,,,,,,,,1962,0,,,,,,Gavin King (New Earth),1071,Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,25,"2001, October",2001,,,,,,,,,
Agent X (Nijo) (Earth-616),1072,Secret Identity,Neutral Characters,Brown Eyes,Bald,Male Characters,,Living Characters,35,May-02,2002,,,,,,,,,,,,1962,0,,,,,,Donald Fite (New Earth),1072,Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,25,"1998, September",1998,,,,,,,,,
Edwin Jarvis (Skrull) (Earth-616),1073,Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Deceased Characters,35,Mar-05,2005,,,,,,,,,,,,1962,0,,,,,,Sidney Speck (New Earth),1073,Secret Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,25,"1996, December",1996,,,,,,,,,
Hiroim (Earth-616),1074,Public Identity,,,Black Hair,Male Characters,,Living Characters,35,Apr-06,2006,,,,,,,,,,,,1962,0,,,,,,Uno (New Earth),1074,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,25,"1996, August",1996,,,,,,,,,
John Aman (Earth-616),1075,Secret Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Deceased Characters,35,Oct-07,2007,,,,,,,,,,,,1963,0,,,,,,Baytor (New Earth),1075,Public Identity,,Red Eyes,,Undefined Characters,,Living Characters,25,"1994, January",1994,,,,,,,,,
Romulus (Earth-616),1076,Secret Identity,Bad Characters,Black Eyes,White Hair,Male Characters,,Living Characters,35,Mar-07,2007,,,,,,,,,,,,1963,0,,,,,,Jarras Minion (New Earth),1076,Secret Identity,Good Characters,Blue Eyes,Green Hair,Male Characters,,Living Characters,25,"1994, September",1994,,,,,,,,,
Wernher von Blitzschlag (Earth-616),1077,Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,35,May-07,2007,,,,,,,,,,,,1963,0,,,,,,Nash (New Earth),1077,Secret Identity,Bad Characters,Grey Eyes,Black Hair,Female Characters,,Deceased Characters,25,"1994, October",1994,,,,,,,,,
James Taylor James (Earth-616),1078,Secret Identity,Neutral Characters,Brown Eyes,Auburn Hair,Male Characters,,Deceased Characters,35,Jul-08,2008,,,,,,,,,,,,1963,0,,,,,,Clyde Phillips (New Earth),1078,Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,25,"1988, July",1988,,,,,,,,,
Yo Yo Rodriguez (Earth-616),1079,Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,35,Jul-08,2008,,,,,,,,,,,,1963,0,,,,,,Luke McKendrick (New Earth),1079,Secret Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,25,"1988, May",1988,,,,,,,,,
Melita Garner (Earth-616),1080,No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,35,Jun-09,2009,,,,,,,,,,,,1963,0,,,,,,Maria Verdugo (New Earth),1080,Secret Identity,Good Characters,,Red Hair,Female Characters,,Living Characters,25,"1988, May",1988,,,,,,,,,
Krakoa III (Earth-616),1081,Secret Identity,Good Characters,Red Eyes,No Hair,Male Characters,,Living Characters,35,Jan-12,2012,,,,,,,,,,,,1963,0,,,,,,Penelope (New Earth),1081,,Good Characters,,Black Hair,Female Characters,Homosexual Characters,Living Characters,25,"1988, October",1988,,,,,,,,,
Mary Morgan (Earth-616),1082,Secret Identity,Good Characters,,Brown Hair,Female Characters,,Living Characters,34,Dec-40,1940,,,,,,,,,,,,1963,0,,,,,,Victor Sommers (New Earth),1082,Secret Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,25,"1988, May",1988,,,,,,,,,
Poseidon Aegaeus (Earth-616),1083,Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,34,Feb-43,1943,,,,,,,,,,,,1963,0,,,,,,Jerry McGee (New Earth),1083,Public Identity,,Brown Eyes,Black Hair,Male Characters,,Living Characters,25,"1987, October",1987,,,,,,,,,
Hermes Diaktoros (Earth-616),1084,Public Identity,,Blue Eyes,Blond Hair,Male Characters,,Living Characters,34,Dec-48,1948,,,,,,,,,,,,1963,0,,,,,,Carl Nelligan (New Earth),1084,Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,25,"1983, April",1983,,,,,,,,,
Major Thorn (Earth-616),1085,Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,34,Jan-52,1952,,,,,,,,,,,,1963,0,,,,,,Felicity (New Earth),1085,Public Identity,Good Characters,Pink Eyes,White Hair,Female Characters,,Deceased Characters,25,"1983, July",1983,,,,,,,,,
Arab (Earth-616),1086,No Dual Identity,Good Characters,,White Hair,Male Characters,,Living Characters,34,Oct-54,1954,,,,,,,,,,,,1963,0,,,,,,Lady Turquoise (New Earth),1086,Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,25,"1983, November",1983,,,,,,,,,
Igor (Earth-616),1087,Public Identity,Bad Characters,Black Eyes,Yellow Hair,Male Characters,,Living Characters,34,Apr-63,1963,,,,,,,,,,,,1963,0,,,,,,Princess Emerald III (New Earth),1087,Secret Identity,Good Characters,,Brown Hair,Female Characters,,Living Characters,25,"1983, December",1983,,,,,,,,,
Chester Phillips (Earth-616),1088,Public Identity,Good Characters,Brown Eyes,Grey Hair,Male Characters,,Deceased Characters,34,Mar-65,1965,,,,,,,,,,,,1963,0,,,,,,Sardonyx (New Earth),1088,Public Identity,Neutral Characters,,Black Hair,Male Characters,,Living Characters,25,"1983, April",1983,,,,,,,,,
Aireo (Earth-616),1089,Secret Identity,Bad Characters,Blue Eyes,,Male Characters,,Living Characters,34,Feb-66,1966,,,,,,,,,,,,1963,0,,,,,,Eros (New Earth),1089,Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,25,"1981, April",1981,,,,,,,,,
Keith Kincaid (Earth-616),1090,Public Identity,Good Characters,,Blond Hair,Male Characters,,Living Characters,34,Jan-67,1967,,,,,,,,,,,,1963,0,,,,,,Nathaniel Tryon (New Earth),1090,Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,25,"1981, November",1981,,,,,,,,,
Gustav Brandt (Earth-616),1091,Secret Identity,Neutral Characters,,,Male Characters,,Living Characters,34,Jan-70,1970,,,,,,,,,,,,1963,0,,,,,,Valda (New Earth),1091,Public Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,,Living Characters,25,"1981, November",1981,,,,,,,,,
William Talltrees (Earth-616),1092,Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,34,Sep-70,1970,,,,,,,,,,,,1963,0,,,,,,Grant Wilson (New Earth),1092,Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,25,"1980, November",1980,,,,,,,,,
Tamara Rahn (Earth-616),1093,Secret Identity,Good Characters,Red Eyes,Blond Hair,Female Characters,,Living Characters,34,Feb-73,1973,,,,,,,,,,,,1963,0,,,,,,Preston Payne (New Earth),1093,Secret Identity,Bad Characters,Red Eyes,,Male Characters,,Deceased Characters,25,"1978, June",1978,,,,,,,,,
Charles Rider (Earth-616),1094,Public Identity,Neutral Characters,,Brown Hair,Male Characters,,Living Characters,34,Sep-76,1976,,,,,,,,,,,,1963,0,,,,,,Lucien (New Earth),1094,Secret Identity,Neutral Characters,,Brown Hair,Male Characters,,Living Characters,25,"1975, June",1975,,,,,,,,,
Richard Deacon (Earth-616),1095,Secret Identity,Neutral Characters,Red Eyes,Brown Hair,Male Characters,,Living Characters,34,Nov-76,1976,,,,,,,,,,,,1963,0,,,,,,Valcan (New Earth),1095,Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,25,"1975, June",1975,,,,,,,,,
Ziran (Earth-616),1096,,Neutral Characters,,,Undefined Characters,,Living Characters,34,Dec-77,1977,,,,,,,,,,,,1963,0,,,,,,Firehair (New Earth),1096,Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,25,"1969, September",1969,,,,,,,,,
Cilicia (Earth-616),1097,Public Identity,Neutral Characters,,,Female Characters,,Living Characters,34,Sep-79,1979,,,,,,,,,,,,1963,0,,,,,,Carlo di Rienzi (New Earth),1097,,,,Black Hair,Male Characters,,Deceased Characters,25,"1968, May",1968,,,,,,,,,
Davida DeVito (Earth-616),1098,Public Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,34,Aug-79,1979,,,,,,,,,,,,1963,0,,,,,,Herman Cramer (New Earth),1098,,Good Characters,,,Male Characters,,Living Characters,25,"1966, June",1966,,,,,,,,,
Erica Sondheim (Earth-616),1099,Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,34,Mar-79,1979,,,,,,,,,,,,1963,0,,,,,,Eric Morden (New Earth),1099,Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,25,"1964, March",1964,,,,,,,,,
Karlin Malus (Earth-616),1100,No Dual Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,34,Sep-80,1980,,,,,,,,,,,,1963,0,,,,,,Xax (New Earth),1100,Secret Identity,Good Characters,Black Eyes,,Male Characters,,Deceased Characters,25,"1961, December",1961,,,,,,,,,
Margali Szardos (Earth-616),1101,Secret Identity,,Blue Eyes,Grey Hair,Female Characters,,Living Characters,34,Nov-80,1980,,,,,,,,,,,,1963,0,,,,,,Bonnie King (New Earth),1101,Secret Identity,,Blue Eyes,Blond Hair,Female Characters,,Living Characters,25,"1960, November",1960,,,,,,,,,
Nguyen Ngoc Coy (Earth-616),1102,Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,34,Dec-80,1980,,,,,,,,,,,,1963,0,,,,,,Christopher Freeman (New Earth),1102,Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,25,"1942, December",1942,,,,,,,,,
Raoul Bushman (Earth-616),1103,Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,34,Nov-80,1980,,,,,,,,,,,,1963,0,,,,,,Thomas N. Thomas (New Earth),1103,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,25,"1942, April",1942,,,,,,,,,
Stick (Earth-616),1104,Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Deceased Characters,34,Nov-81,1981,,,,,,,,,,,,1963,0,,,,,,James Forrest (New Earth),1104,Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,24,"2009, July",2009,,,,,,,,,
Scourge (Delazny) (Earth-616),1105,Secret Identity,Bad Characters,,White Hair,Male Characters,,Deceased Characters,34,May-85,1985,,,,,,,,,,,,1963,0,,,,,,Milagro Reyes (New Earth),1105,Public Identity,,Brown Eyes,Black Hair,Female Characters,,Living Characters,24,"2006, May",2006,,,,,,,,,
Quicksand (Earth-616),1106,Secret Identity,Bad Characters,Yellow Eyes,,Female Characters,,Living Characters,34,Jun-88,1988,,,,,,,,,,,,1963,0,,,,,,Morro (New Earth),1106,,Good Characters,Black Eyes,,Male Characters,,Living Characters,24,"2006, July",2006,,,,,,,,,
Val Ventura (Earth-616),1107,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Homosexual Characters,Living Characters,34,Jul-89,1989,,,,,,,,,,,,1963,0,,,,,,Peter Robinson (New Earth),1107,,Neutral Characters,,Black Hair,Male Characters,,Living Characters,24,"2004, November",2004,,,,,,,,,
Doug Powell (Earth-616),1108,,Good Characters,,Brown Hair,Male Characters,,Living Characters,34,Jun-90,1990,,,,,,,,,,,,1963,0,,,,,,Daniel Evans (New Earth),1108,Public Identity,Good Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,24,"2002, May",2002,,,,,,,,,
Amy Chen (Earth-616),1109,Secret Identity,Neutral Characters,Black Eyes,Black Hair,Female Characters,Homosexual Characters,Living Characters,34,Jul-92,1992,,,,,,,,,,,,1963,0,,,,,,Angela St. Grace (New Earth),1109,Secret Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,24,"2001, June",2001,,,,,,,,,
Brendan Rathcoole (Earth-616),1110,Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,34,Jun-92,1992,,,,,,,,,,,,1963,0,,,,,,Joseph Monteleone (New Earth),1110,Secret Identity,Bad Characters,Yellow Eyes,,Male Characters,,Living Characters,24,"2001, July",2001,,,,,,,,,
Lynn Michaels (Earth-616),1111,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,34,Sep-92,1992,,,,,,,,,,,,1963,0,,,,,,Philo Zeiss (New Earth),1111,Public Identity,Bad Characters,,,Male Characters,,Living Characters,24,"2000, October",2000,,,,,,,,,
Tigon Liger (Earth-616),1112,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,34,Jun-92,1992,,,,,,,,,,,,1963,0,,,,,,Lindsay Wah (New Earth),1112,Secret Identity,Good Characters,,Purple Hair,Female Characters,,Living Characters,24,"1996, September",1996,,,,,,,,,
Suzi Endo (Earth-616),1113,Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,34,Dec-94,1994,,,,,,,,,,,,1963,0,,,,,,Andrew Van Horn (New Earth),1113,Secret Identity,Good Characters,Green Eyes,Red Hair,Male Characters,,Living Characters,24,"1993, October",1993,,,,,,,,,
Jessica Carradine (Earth-616),1114,Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,34,May-96,1996,,,,,,,,,,,,1963,0,,,,,,Krypto the Earth Dog (New Earth),1114,Public Identity,Neutral Characters,,White Hair,Male Characters,,Living Characters,24,"1993, June",1993,,,,,,,,,
Nicholas Gleason (Earth-616),1115,Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,34,Oct-02,2002,,,,,,,,,,,,1963,0,,,,,,Nicholas Kovak (New Earth),1115,Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,24,1993,1993,,,,,,,,,
Barack Obama (Earth-616),1116,No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,34,Mar-09,2009,,,,,,,,,,,,1963,0,,,,,,Kreon (New Earth),1116,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,24,"1992, March",1992,,,,,,,,,
Victor Alvarez (Earth-616),1117,Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,34,Nov-09,2009,,,,,,,,,,,,1963,0,,,,,,Peter Cannon (New Earth),1117,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,24,"1992, September",1992,,,,,,,,,
Grady Scraps (Earth-616),1118,Public Identity,Neutral Characters,Blue Eyes,,Male Characters,,Living Characters,34,Jan-11,2011,,,,,,,,,,,,1963,0,,,,,,Ulysses Hadrian Armstrong (New Earth),1118,Public Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,24,"1992, December",1992,,,,,,,,,
Francesca Grace (Earth-616),1119,Secret Identity,,Black Eyes,Black Hair,Female Characters,,Living Characters,34,,,,,,,,,,,,,,1963,0,,,,,,Paul Westfield (New Earth),1119,Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,24,"1991, August",1991,,,,,,,,,
Matt Slade (Earth-616),1120,Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,33,May-56,1956,,,,,,,,,,,,1963,0,,,,,,Anthony Mantegna (New Earth),1120,Secret Identity,Good Characters,,Black Hair,Male Characters,Homosexual Characters,Living Characters,24,"1988, May",1988,,,,,,,,,
Joseph Hogan (Earth-616),1121,Public Identity,Neutral Characters,Blue Eyes,Bald,Male Characters,,Living Characters,33,Aug-62,1962,,,,,,,,,,,,1963,0,,,,,,Sarah Olsen (New Earth),1121,,,Green Eyes,White Hair,Female Characters,,Living Characters,24,"1988, March",1988,,,,,,,,,
Barney Bushkin (Earth-616),1122,No Dual Identity,Good Characters,Brown Eyes,Grey Hair,Male Characters,,Living Characters,33,Aug-65,1965,,,,,,,,,,,,1963,0,,,,,,Carmine Falcone (New Earth),1122,Public Identity,Bad Characters,Brown Eyes,White Hair,Male Characters,,Deceased Characters,24,"1987, February",1987,,,,,,,,,
Master Mold (Earth-616),1123,No Dual Identity,Bad Characters,Yellow Eyes,No Hair,Male Characters,,Deceased Characters,33,Dec-65,1965,,,,,,,,,,,,1963,0,,,,,,Kilg%re (New Earth),1123,Public Identity,Bad Characters,Photocellular Eyes,,Genderless Characters,,Living Characters,24,"1987, August",1987,,,,,,,,,
Quasi-Motivational Destruct Organism (Earth-616),1124,,Bad Characters,White Eyes,No Hair,Male Characters,,Living Characters,33,Nov-66,1966,,,,,,,,,,,,1963,0,,,,,,Martin Allard (New Earth),1124,,,Brown Eyes,Brown Hair,Male Characters,,Living Characters,24,"1987, March",1987,,,,,,,,,
Mangog (Earth-616),1125,,Bad Characters,Brown Eyes,No Hair,Male Characters,,Living Characters,33,Jul-68,1968,,,,,,,,,,,,1963,0,,,,,,Franklin Berkowitz (New Earth),1125,Public Identity,,Brown Eyes,Grey Hair,Male Characters,,Deceased Characters,24,"1986, November",1986,,,,,,,,,
Arkon (Earth-616),1126,,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,33,Apr-70,1970,,,,,,,,,,,,1963,0,,,,,,Coldsnap (New Earth),1126,,Bad Characters,,White Hair,Male Characters,,Living Characters,24,"1984, April",1984,,,,,,,,,
Ebony (Earth-616),1127,Secret Identity,Good Characters,Yellow Eyes,Black Hair,Undefined Characters,,Living Characters,33,Jan-70,1970,,,,,,,,,,,,1963,0,,,,,,Heatstroke (New Earth),1127,,Bad Characters,,Red Hair,Female Characters,,Living Characters,24,"1984, April",1984,,,,,,,,,
Jonas Harrow (Earth-616),1128,No Dual Identity,Bad Characters,,Bald,Male Characters,,Deceased Characters,33,Nov-72,1972,,,,,,,,,,,,1963,0,,,,,,Rebecca Jones (New Earth),1128,Secret Identity,Bad Characters,Red Eyes,Blue Hair,Female Characters,,Living Characters,24,"1984, March",1984,,,,,,,,,
Vincent Stegron (Earth-616),1129,Public Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Living Characters,33,Mar-74,1974,,,,,,,,,,,,1963,0,,,,,,Wayne Tarrant (New Earth),1129,Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,24,"1984, June",1984,,,,,,,,,
Albert Potter (Earth-616),1130,Secret Identity,Bad Characters,Blue Eyes,Bald,Male Characters,,Living Characters,33,Oct-76,1976,,,,,,,,,,,,1963,0,,,,,,Wyynde (New Earth),1130,Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,24,"1982, April",1982,,,,,,,,,
Archibald Dyker (Earth-616),1131,Secret Identity,Bad Characters,Blue Eyes,No Hair,Male Characters,,Living Characters,33,Nov-76,1976,,,,,,,,,,,,1963,0,,,,,,Lambien (New Earth),1131,Secret Identity,Neutral Characters,Gold Eyes,Gold Hair,Male Characters,,Living Characters,24,"1981, June",1981,,,,,,,,,
Drew Daniels (Earth-616),1132,Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,33,Dec-76,1976,,,,,,,,,,,,1963,0,,,,,,Fero (New Earth),1132,Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,24,"1973, January",1973,,,,,,,,,
Douglas Birely (Earth-616),1133,Public Identity,Bad Characters,Grey Eyes,Brown Hair,Male Characters,,Living Characters,33,Nov-77,1977,,,,,,,,,,,,1963,0,,,,,,Linda Olsen Ridge (New Earth),1133,Public Identity,Good Characters,,Red Hair,Female Characters,,Deceased Characters,24,"1972, November",1972,,,,,,,,,
Godzilla (Earth-616),1134,No Dual Identity,Neutral Characters,Red Eyes,No Hair,Male Characters,,Deceased Characters,33,Aug-77,1977,,,,,,,,,,,,1963,0,,,,,,Doctor Bedlam (New Earth),1134,Secret Identity,Bad Characters,Photocellular Eyes,,Male Characters,,Deceased Characters,24,"1971, June",1971,,,,,,,,,
Jackson Arvad (Earth-616),1135,Public Identity,Neutral Characters,White Eyes,Blond Hair,Male Characters,,Living Characters,33,Apr-77,1977,,,,,,,,,,,,1963,0,,,,,,Roderick Rose (New Earth),1135,Secret Identity,Bad Characters,Red Eyes,,Male Characters,,Living Characters,24,"1968, November",1968,,,,,,,,,
John Clayton (Earth-616),1136,Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,,Living Characters,33,Jun-77,1977,,,,,,,,,,,,1963,0,,,,,,Alpheus Hyatt (New Earth),1136,,Good Characters,,,Male Characters,,Living Characters,24,"1962, November",1962,,,,,,,,,
Julia Koenig (Earth-616),1137,Secret Identity,,Blue Eyes,Black Hair,Female Characters,,Living Characters,33,May-77,1977,,,,,,,,,,,,1963,0,,,,,,Mark Mandrill (New Earth),1137,,Bad Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,24,"1961, April",1961,,,,,,,,,
Sergei Krylov (Earth-616),1138,Secret Identity,Bad Characters,White Eyes,,Male Characters,,Living Characters,33,Oct-77,1977,,,,,,,,,,,,1963,0,,,,,,Phillip Cobb (New Earth),1138,,Bad Characters,,Brown Hair,Male Characters,,Living Characters,24,"1957, December",1957,,,,,,,,,
