name_marvel,number_marvel,id_marvel,align_marvel,eye_marvel,hair_marvel,sex_marvel,gsm,alive,appearances_marvel,firstappearances_marvel,year_marvel,yearsgrouped_marvel,femalepercentage_marvel,firstfemaleappearance percentage_marvel,year,gender_f,alignmentpercentage_f,gender_m,alignmentpercentage_m,Column1,gsm,year_marvel,gsm_dc,year_dc,,,,,,name_dc,number_dc,id_dc,align_dc,eye_dc,hair_dc,sex_dc,gsm_dc,alive_dc,appearances_dc,firstappearances_dc,year_dc,yearsgrouped_dc,femalepercentage_dc,firstfemaleappearance percentage_dc,Year_1,Column_f,Value_f,Column1,Column_m,Value_m
Verdandi (Earth-616),2163,No Dual Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,16,Mar-64,1964,,,,,,,,,,,1964,,1987,,,,,,Thaddeus Killgrave (New Earth),2163,Public Identity,Bad Characters,Black Eyes,Red Hair,Male Characters,,Living Characters,11,"1988, July",1988,,,,,,,,,
Harris Hobbs (Earth-616),2164,,Good Characters,,,Male Characters,,Living Characters,16,Mar-65,1965,,,,,,,,,,,1965,,1987,,,,,,Timandra (New Earth),2164,,Good Characters,Blue Eyes,Brown Hair,Female Characters,,Living Characters,11,"1988, November",1988,,,,,,,,,
Sentinel Mk I (Earth-616),2165,No Dual Identity,Bad Characters,Yellow Eyes,No Hair,Undefined Characters,,Living Characters,16,Nov-65,1965,,,,,,,,,,,1965,,1987,,,,,,Amanda McCoy (New Earth),2165,,Neutral Characters,,Brown Hair,Female Characters,,Deceased Characters,11,"1987, February",1987,,,,,,,,,
Xandu (Sorcerer) (Earth-616),2166,Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,16,Oct-65,1965,,,,,,,,,,,1965,,1987,,,,,,Arnold Beck (New Earth),2166,Secret Identity,Bad Characters,,Red Hair,Male Characters,,Deceased Characters,11,"1987, August",1987,,,,,,,,,
Artemis (Olympian) (Earth-616),2167,No Dual Identity,Neutral Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,16,Jun-66,1966,,,,,,,,,,,1966,,1987,,,,,,Gray Man (New Earth),2167,Secret Identity,,Grey Eyes,Grey Hair,Male Characters,,Living Characters,11,"1987, June",1987,,,,,,,,,
Sayge (Earth-616),2168,,Neutral Characters,,,Undefined Characters,,Living Characters,16,Mar-67,1967,,,,,,,,,,,1967,,1987,,,,,,Gregor Gregorovich (New Earth),2168,,,,Brown Hair,Male Characters,,Living Characters,11,"1987, December",1987,,,,,,,,,
Jun Ching (Earth-616),2169,,Bad Characters,,,Male Characters,,Living Characters,16,Jun-68,1968,,,,,,,,,,,1968,,1987,,,,,,Klaus Cornelius (New Earth),2169,Public Identity,Bad Characters,,Grey Hair,Male Characters,,Living Characters,11,"1987, July",1987,,,,,,,,,
Joseph Timms (Earth-616),2170,Secret Identity,Good Characters,Brown Eyes,No Hair,Male Characters,,Living Characters,16,Nov-69,1969,,,,,,,,,,,1969,,1987,,,,,,Thoth (New Earth),2170,,Neutral Characters,,,Male Characters,,Living Characters,11,"1987, October",1987,,,,,,,,,
Kinji Obatu (Earth-616),2171,Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,16,Oct-69,1969,,,,,,,,,,,1969,,1987,,,,,,Toby Raynes (New Earth),2171,Public Identity,Good Characters,,Brown Hair,Female Characters,Homosexual Characters,Living Characters,11,"1987, September",1987,,,,,,,,,
Sentinels Mk II (Earth-616),2172,No Dual Identity,Bad Characters,Yellow Eyes,No Hair,Undefined Characters,,Deceased Characters,16,Jun-69,1969,,,,,,,,,,,1969,,1987,,,,,,Guido Garibaldi (New Earth),2172,Public Identity,,Blue Eyes,Black Hair,Male Characters,,Living Characters,11,"1986, January",1986,,,,,,,,,
Harlan Vargas (Earth-616),2173,Secret Identity,,,Auburn Hair,Male Characters,,Living Characters,16,Jan-70,1970,,,,,,,,,,,1970,,1987,,,,,,Israel Harel (New Earth),2173,,Bad Characters,,,Male Characters,,Living Characters,11,"1986, October",1986,,,,,,,,,
Jack Kleveno (Earth-616),2174,Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,16,Jan-70,1970,,,,,,,,,,,1970,,1987,,,,,,Jeremiah Duncan (New Earth),2174,Public Identity,Neutral Characters,,Black Hair,Male Characters,,Living Characters,11,"1986, June",1986,,,,,,,,,
Willard Weir (Earth-616),2175,,Bad Characters,Red Eyes,Black Hair,Male Characters,,Living Characters,16,Jan-70,1970,,,,,,,,,,,1970,,1987,,,,,,K.P. Watson (New Earth),2175,Public Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,11,"1986, January",1986,,,,,,,,,
Johnny Wakely (Earth-616),2176,Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,,Deceased Characters,16,Nov-71,1971,,,,,,,,,,,1971,,1987,,,,,,Qull (New Earth),2176,Public Identity,Bad Characters,Red Eyes,,Male Characters,,Deceased Characters,11,1986,1986,,,,,,,,,
Michael Stockton (Earth-616),2177,Secret Identity,Bad Characters,Blue Eyes,Bald,Male Characters,,Living Characters,16,Jul-72,1972,,,,,,,,,,,1972,,1987,,,,,,Arak Wind-Walker (New Earth),2177,Secret Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,11,"1985, August",1985,,,,,,,,,
Benjamin Donovan (Earth-616),2178,No Dual Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,16,Oct-73,1973,,,,,,,,,,,1973,,1987,,,,,,Emma (New Earth),2178,Public Identity,,Blue Eyes,Brown Hair,Female Characters,,Deceased Characters,11,"1985, June",1985,,,,,,,,,
Raymond Coker (Earth-616),2179,Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,16,Nov-73,1973,,,,,,,,,,,1973,,1987,,,,,,Phoebe (New Earth),2179,Public Identity,Neutral Characters,,,Female Characters,,Deceased Characters,11,"1985, August",1985,,,,,,,,,
Zephyr (Earth-616),2180,No Dual Identity,Neutral Characters,,Black Hair,Female Characters,,Living Characters,16,Aug-74,1974,,,,,,,,,,,1974,,1987,,,,,,Rynoc (New Earth),2180,Public Identity,Good Characters,,,Male Characters,,Living Characters,11,"1985, August",1985,,,,,,,,,
"Frank Castle, Jr. (Earth-616)",2181,Public Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,16,Aug-75,1975,,,,,,,,,,,1975,,1987,,,,,,Sister Anne-Marie (New Earth),2181,,Neutral Characters,Blue Eyes,,Female Characters,,Deceased Characters,11,"1985, June",1985,,,,,,,,,
Gina Morelli (Earth-616),2182,Public Identity,Neutral Characters,,Black Hair,Female Characters,,Living Characters,16,Aug-75,1975,,,,,,,,,,,1975,,1987,,,,,,Volk (New Earth),2182,,Good Characters,,,Male Characters,,Living Characters,11,"1985, July",1985,,,,,,,,,
Michael Rossi (Earth-616),2183,Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,16,Dec-75,1975,,,,,,,,,,,1975,,1987,,,,,,Zirral (New Earth),2183,Public Identity,,,,Female Characters,,Living Characters,11,"1985, August",1985,,,,,,,,,
Nikolai Rasputin (Earth-616),2184,Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,16,May-75,1975,,,,,,,,,,,1975,,1987,,,,,,Bruno George (New Earth),2184,Public Identity,Neutral Characters,,Blond Hair,Male Characters,,Living Characters,11,"1984, September",1984,,,,,,,,,
Jacko Tanner (Earth-616),2185,No Dual Identity,Neutral Characters,,Brown Hair,Male Characters,,Living Characters,16,Oct-76,1976,,,,,,,,,,,1976,,1987,,,,,,Mister Smith (New Earth),2185,Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,11,"1984, April",1984,,,,,,,,,
Thomas Lightner (Earth-616),2186,,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,16,Nov-76,1976,,,,,,,,,,,1976,,1987,,,,,,Rosie (New Earth),2186,Secret Identity,Bad Characters,,Red Hair,Female Characters,,Deceased Characters,11,"1984, May",1984,,,,,,,,,
Anthony Davis (Earth-616),2187,Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,16,Sep-77,1977,,,,,,,,,,,1977,,1987,,,,,,Steamroller (New Earth),2187,Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,11,"1984, May",1984,,,,,,,,,
Basil Crushstone (Earth-616),2188,Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,16,Jun-77,1977,,,,,,,,,,,1977,,1987,,,,,,Synn (New Earth),2188,Public Identity,Bad Characters,Red Eyes,Black Hair,Female Characters,,Living Characters,11,"1984, December",1984,,,,,,,,,
Django Maximoff (Earth-616),2189,,,Brown Eyes,Black Hair,Male Characters,,Living Characters,16,Dec-77,1977,,,,,,,,,,,1977,,1987,,,,,,Alonzo Dulak (New Earth),2189,,Bad Characters,White Eyes,White Hair,Male Characters,,Living Characters,11,"1983, September",1983,,,,,,,,,
Frank Gianelli (Earth-616),2190,,,,,Male Characters,,Living Characters,16,May-77,1977,,,,,,,,,,,1977,,1987,,,,,,Deeter (New Earth),2190,,Good Characters,Black Eyes,Red Hair,Male Characters,,Living Characters,11,"1983, March",1983,,,,,,,,,
Greg Salinger (Earth-616),2191,Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,16,May-77,1977,,,,,,,,,,,1977,,1987,,,,,,Frederick DeLamb (New Earth),2191,Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,11,"1983, August",1983,,,,,,,,,
Minn-Erva (Earth-616),2192,Public Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,16,May-77,1977,,,,,,,,,,,1977,,1987,,,,,,Lady Sapphire (New Earth),2192,Public Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,11,"1983, September",1983,,,,,,,,,
Primus (Android) (Earth-616),2193,Secret Identity,Neutral Characters,Yellow Eyes,No Hair,Male Characters,,Living Characters,16,May-77,1977,,,,,,,,,,,1977,,1987,,,,,,Laethwen (New Earth),2193,Public Identity,Good Characters,Red Eyes,Red Hair,Female Characters,,Deceased Characters,11,"1983, September",1983,,,,,,,,,
Vakume (Earth-616),2194,Secret Identity,Good Characters,,,Male Characters,,Living Characters,16,Sep-77,1977,,,,,,,,,,,1977,,1987,,,,,,Maaldor (New Earth),2194,Public Identity,Bad Characters,Red Eyes,Red Hair,Male Characters,,Deceased Characters,11,"1983, April",1983,,,,,,,,,
Belladonna (Microverse) (Earth-616),2195,,Bad Characters,,White Hair,Female Characters,,Deceased Characters,16,Mar-79,1979,,,,,,,,,,,1979,,1987,,,,,,Max (New Earth),2195,,Good Characters,,,Undefined Characters,,Living Characters,11,"1983, October",1983,,,,,,,,,
Jonas Hale (Earth-616),2196,Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,16,Mar-79,1979,,,,,,,,,,,1979,,1987,,,,,,Mica Love (New Earth),2196,Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,11,"1983, July",1983,,,,,,,,,
Sarah Clark (Earth-616),2197,Public Identity,Good Characters,,Auburn Hair,Female Characters,,Deceased Characters,16,Dec-79,1979,,,,,,,,,,,1979,,1987,,,,,,Spol (New Earth),2197,Secret Identity,Good Characters,Red Eyes,,Male Characters,,Living Characters,11,"1983, September",1983,,,,,,,,,
Scotty McDowell (Earth-616),2198,Secret Identity,Neutral Characters,,Brown Hair,Male Characters,,Living Characters,16,Dec-79,1979,,,,,,,,,,,1979,,1987,,,,,,Jefferson Jackson (New Earth),2198,Public Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,11,"1982, June",1982,,,,,,,,,
Abdul Qamar (Earth-616),2199,Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,16,Aug-80,1980,,,,,,,,,,,1980,,1987,,,,,,Jennifer Long (New Earth),2199,Public Identity,,,Brown Hair,Female Characters,,Deceased Characters,11,"1982, September",1982,,,,,,,,,
Dennis Bukowski (Earth-616),2200,No Dual Identity,Neutral Characters,,Red Hair,Male Characters,,Living Characters,16,Mar-80,1980,,,,,,,,,,,1980,,1987,,,,,,Ronald Evers (New Earth),2200,Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,11,"1982, June",1982,,,,,,,,,
Degrayde (Earth-616),2201,Public Identity,Bad Characters,,Bald,Male Characters,,Living Characters,16,Oct-81,1981,,,,,,,,,,,1981,,1987,,,,,,Alecto (New Earth),2201,,Bad Characters,,,Female Characters,,Living Characters,11,"1981, October",1981,,,,,,,,,
James Marks (Earth-616),2202,Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,16,Apr-81,1981,,,,,,,,,,,1981,,1987,,,,,,Megaera (New Earth),2202,,Bad Characters,,,Female Characters,,Living Characters,11,"1981, October",1981,,,,,,,,,
Nanotron,2203,Public Identity,Good Characters,,,Female Characters,,Deceased Characters,16,Jun-81,1981,,,,,,,,,,,1981,,1987,,,,,,Valoric (New Earth),2203,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,11,"1979, October",1979,,,,,,,,,
Varnae (Earth-616),2204,Secret Identity,Bad Characters,Red Eyes,Green Hair,Male Characters,,Living Characters,16,Dec-82,1982,,,,,,,,,,,1982,,1987,,,,,,Four-Eyes (New Earth),2204,Public Identity,Good Characters,,Brown Hair,Male Characters,,Deceased Characters,11,"1976, July",1976,,,,,,,,,
Arthur Blackwood (Earth-616),2205,Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,16,Apr-83,1983,,,,,,,,,,,1983,,1987,,,,,,Beowulf (New Earth),2205,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,11,"1975, May",1975,,,,,,,,,
Gregory Nettles (Earth-616),2206,Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,16,Feb-83,1983,,,,,,,,,,,1983,,1987,,,,,,Timothy Ravenwind (New Earth),2206,Public Identity,Neutral Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,11,"1973, August",1973,,,,,,,,,
Melina Vostokoff (Earth-616),2207,Secret Identity,Bad Characters,,,Female Characters,,Living Characters,16,Nov-83,1983,,,,,,,,,,,1983,,1987,,,,,,Eve Donner (New Earth),2207,Public Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,11,"1972, July",1972,,,,,,,,,
Red Queen (Earth-616),2208,,Bad Characters,,Red Hair,Female Characters,,Living Characters,16,Apr-84,1984,,,,,,,,,,,1984,,1987,,,,,,Luigi (New Earth),2208,,Good Characters,,Black Hair,Male Characters,,Living Characters,11,"1972, December",1972,,,,,,,,,
Tweedledope (Earth-616),2209,,,,,Male Characters,,Living Characters,16,Apr-84,1984,,,,,,,,,,,1984,,1987,,,,,,Tigra (New Earth),2209,Public Identity,Neutral Characters,Black Eyes,Red Hair,Female Characters,,Deceased Characters,11,"1972, March",1972,,,,,,,,,
Ape (Morlock) (Earth-616),2210,,Neutral Characters,,,Male Characters,,Deceased Characters,16,Jul-85,1985,,,,,,,,,,,1985,,1987,,,,,,Alex Olsen (New Earth),2210,Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,11,"1971, July",1971,,,,,,,,,
Gilpetperdon (Earth-616),2211,Secret Identity,Bad Characters,Gold Eyes,Gold Hair,Male Characters,,Living Characters,16,May-85,1985,,,,,,,,,,,1985,,1987,,,,,,Claudia Shane (New Earth),2211,Secret Identity,Good Characters,,Red Hair,Female Characters,,Living Characters,11,"1971, March",1971,,,,,,,,,
Leir (Earth-616),2212,Secret Identity,Good Characters,Blue Eyes,Auburn Hair,Male Characters,,Living Characters,16,Dec-87,1987,,,,,,,,,,,1987,,1987,,,,,,Esak (New Earth),2212,Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,11,"1971, September",1971,,,,,,,,,
Louis Hamilton (Earth-616),2213,Secret Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,16,Mar-87,1987,,,,,,,,,,,1987,,1987,,,,,,Gnarrk (New Earth),2213,Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Deceased Characters,11,"1971, April",1971,,,,,,,,,
Ariana Saddiqi (Earth-616),2214,Secret Identity,Bad Characters,White Eyes,Blond Hair,Female Characters,,Living Characters,16,Jan-88,1988,,,,,,,,,,,1988,,1987,,,,,,Olivia Reynolds (New Earth),2214,Public Identity,Bad Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,11,"1969, September",1969,,,,,,,,,
Cecilia Cardinale (Earth-616),2215,Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,16,Oct-88,1988,,,,,,,,,,,1988,,1987,,,,,,Lart (New Earth),2215,Public Identity,Good Characters,Black Eyes,Blond Hair,Male Characters,,Living Characters,11,"1968, May",1968,,,,,,,,,
Nigel Frobisher (Earth-616),2216,Public Identity,Neutral Characters,,Blond Hair,Male Characters,,Deceased Characters,16,Oct-88,1988,,,,,,,,,,,1988,,1987,,,,,,Rae Hall (New Earth),2216,Public Identity,Good Characters,,Red Hair,Female Characters,,Living Characters,11,"1968, November",1968,,,,,,,,,
Tam Anderson (Earth-616),2217,,Good Characters,Hazel Eyes,Red Hair,Female Characters,,Living Characters,16,Oct-88,1988,,,,,,,,,,,1988,,1987,,,,,,Bertram Larvan (New Earth),2217,Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Deceased Characters,11,"1966, September",1966,,,,,,,,,
Bart Rozum (Earth-616),2218,No Dual Identity,Good Characters,Brown Eyes,Red Hair,Male Characters,,Living Characters,16,May-89,1989,,,,,,,,,,,1989,,1987,,,,,,Kerry (New Earth),2218,,Bad Characters,,,Male Characters,,Deceased Characters,11,"1966, March",1966,,,,,,,,,
J. R. Walker (Earth-616),2219,,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,16,Oct-89,1989,,,,,,,,,,,1989,,1987,,,,,,Shaggy Man I (New Earth),2219,Public Identity,Bad Characters,Red Eyes,Brown Hair,Male Characters,,Living Characters,11,"1966, June",1966,,,,,,,,,
Nikolaus Geist (Earth-616),2220,Secret Identity,Bad Characters,Brown Eyes,White Hair,Male Characters,,Living Characters,16,Nov-89,1989,,,,,,,,,,,1989,,1987,,,,,,Warlock of Ys (New Earth),2220,Public Identity,Bad Characters,Black Eyes,,Male Characters,,Living Characters,11,"1966, January",1966,,,,,,,,,
Philip Sterns (Earth-616),2221,Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,16,Nov-89,1989,,,,,,,,,,,1989,,1987,,,,,,Nicholas Galtry (New Earth),2221,,Bad Characters,,,Male Characters,,Living Characters,11,"1965, December",1965,,,,,,,,,
Vostok (Earth-616),2222,Public Identity,,,Bald,Male Characters,,Living Characters,16,Apr-89,1989,,,,,,,,,,,1989,,1987,,,,,,Steven Savage (New Earth),2222,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,11,"1965, December",1965,,,,,,,,,
Whiteout (Earth-616),2223,Secret Identity,Bad Characters,White Eyes,,Female Characters,,Living Characters,16,Oct-89,1989,,,,,,,,,,,1989,,1987,,,,,,Iona Vane (New Earth),2223,Public Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,11,"1961, October",1961,,,,,,,,,
Andrew Jackson (Earth-616),2224,Public Identity,Good Characters,,Blond Hair,Male Characters,,Deceased Characters,16,Nov-90,1990,,,,,,,,,,,1990,,1987,,,,,,Musketeer (New Earth),2224,Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,11,"1955, January",1955,,,,,,,,,
At-Lass (Earth-616),2225,Public Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,16,Apr-90,1990,,,,,,,,,,,1990,,1987,,,,,,Walter Trigger (New Earth),2225,Public Identity,Good Characters,Blue Eyes,Orange Hair,Male Characters,,Living Characters,11,"1951, May",1951,,,,,,,,,
Breeze James (Earth-616),2226,Secret Identity,,Brown Eyes,Black Hair,Female Characters,,Living Characters,16,Jul-90,1990,,,,,,,,,,,1990,,1987,,,,,,Wayne Trigger (New Earth),2226,Public Identity,Good Characters,Blue Eyes,Orange Hair,Male Characters,,Living Characters,11,"1951, May",1951,,,,,,,,,
Thomas Sorenson (Earth-616),2227,Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,16,Oct-90,1990,,,,,,,,,,,1990,,1987,,,,,,Mars (New Earth),2227,Public Identity,Neutral Characters,,,Male Characters,,Living Characters,11,"1944, May",1944,,,,,,,,,
Allegra Bazin (Earth-616),2228,,,,,Undefined Characters,,Living Characters,16,Aug-91,1991,,,,,,,,,,,1991,,1987,,,,,,Ian Karkull (New Earth),2228,Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,11,"1941, July",1941,,,,,,,,,
Esteban Beach (Earth-616),2229,Public Identity,,,Brown Hair,Male Characters,,Living Characters,16,Nov-91,1991,,,,,,,,,,,1991,,1987,,,,,,Richard Dare (New Earth),2229,,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,11,"1941, October",1941,,,,,,,,,
Fabian Marechal-Julbin (Earth-616),2230,Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,16,Mar-91,1991,,,,,,,,,,,1991,,1987,,,,,,Rose Psychic (New Earth),2230,Public Identity,Good Characters,Black Eyes,Black Hair,Female Characters,,Deceased Characters,11,"1937, March",1937,,,,,,,,,
Jeff Hagees (Earth-616),2231,Secret Identity,Bad Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,16,Jul-91,1991,,,,,,,,,,,1991,,1987,,,,,,Red Panzer IV (New Earth),2231,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,11,,,,,,,,,,,
Phillipe Bazin (Earth-616),2232,Public Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,16,Mar-91,1991,,,,,,,,,,,1991,LGBT_DC,1987,,,,,,Gernsback (New Earth),2232,,Good Characters,,,Male Characters,,Living Characters,11,,,,,,,,,,,
Alexis Primo (Earth-616),2233,No Dual Identity,Good Characters,,Brown Hair,Female Characters,,Living Characters,16,Jul-92,1992,,,,,,,,,,,1992,,1987,,,,,,Henry Cosgei (New Earth),2233,Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,11,,,,,,,,,,,
Craig Blaze (Earth-616),2234,Public Identity,Good Characters,,,Male Characters,,Living Characters,16,Feb-92,1992,,,,,,,,,,,1992,,1987,,,,,,Bilal Asselah (New Earth),2234,Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,10,"2011, February",2011,,,,,,,,,
Emma Blaze (Earth-616),2235,Public Identity,Good Characters,,,Female Characters,,Living Characters,16,Feb-92,1992,,,,,,,,,,,1992,,1987,,,,,,Elizabeth Fleischmann (New Earth),2235,Public Identity,Good Characters,,Brown Hair,Female Characters,,Living Characters,10,"2010, May",2010,,,,,,,,,
Gawain (Earth-616),2236,Secret Identity,Good Characters,,Bald,Male Characters,,Living Characters,16,Jul-92,1992,,,,,,,,,,,1992,,1987,,,,,,Hila (New Earth),2236,Secret Identity,Bad Characters,Blue Eyes,Purple Hair,Female Characters,,Living Characters,10,"2010, August",2010,,,,,,,,,
Jamie Flores (Earth-616),2237,Secret Identity,Good Characters,,Brown Hair,Female Characters,,Living Characters,16,Jun-92,1992,,,,,,,,,,,1992,,1987,,,,,,Kenneth Wisdom (New Earth),2237,Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,10,"2010, February",2010,,,,,,,,,
Alkhema (Earth-616),2238,No Dual Identity,Bad Characters,Variable Eyes,No Hair,Female Characters,,Living Characters,16,Jan-93,1993,,,,,,,,,,,1993,,1987,,,,,,Paul Lincoln (New Earth),2238,Public Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,,Living Characters,10,"2010, July",2010,,,,,,,,,
Isaac Javitz (Earth-616),2239,Secret Identity,Bad Characters,One Eye,Brown Hair,Male Characters,,Deceased Characters,16,May-93,1993,,,,,,,,,,,1993,,1987,,,,,,Dexter Nichols (New Earth),2239,Public Identity,Neutral Characters,,Brown Hair,Male Characters,,Living Characters,10,"2009, July",2009,,,,,,,,,
Katu Kath (Earth-616),2240,Secret Identity,Bad Characters,White Eyes,Grey Hair,Male Characters,,Deceased Characters,16,May-93,1993,,,,,,,,,,,1993,,1987,,,,,,William Cayce (New Earth),2240,Public Identity,,Brown Eyes,Black Hair,Male Characters,,Living Characters,10,"2009, October",2009,,,,,,,,,
Mary Lavinia Octavius (Earth-616),2241,No Dual Identity,Neutral Characters,Black Eyes,Blue Hair,Female Characters,,Deceased Characters,16,Nov-93,1993,,,,,,,,,,,1993,,1987,,,,,,Alex Merkel (New Earth),2241,Secret Identity,Bad Characters,Blue Eyes,,Female Characters,,Living Characters,10,"2008, November",2008,,,,,,,,,
Roberto da Costa (Reignfire) (Earth-616),2242,Secret Identity,Bad Characters,,No Hair,Male Characters,,Deceased Characters,16,Sep-93,1993,,,,,,,,,,,1993,,1987,,,,,,Angelica Smith (New Earth),2242,,Bad Characters,,Blond Hair,Female Characters,,Deceased Characters,10,"2008, April",2008,,,,,,,,,
Veronica Benning (Earth-616),2243,Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,16,May-93,1993,,,,,,,,,,,1993,,1987,,,,,,Anubis of the Dogpound (New Earth),2243,,Bad Characters,,,Male Characters,,Living Characters,10,"2008, September",2008,,,,,,,,,
Boone (Earth-616),2244,Secret Identity,,,Brown Hair,Male Characters,,Living Characters,16,Oct-94,1994,,,,,,,,,,,1994,,1987,,,,,,Charis (New Earth),2244,Public Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,10,"2008, January",2008,,,,,,,,,
Chakra (Earth-616),2245,Secret Identity,,Black Eyes,Black Hair,Female Characters,,Living Characters,16,Oct-94,1994,,,,,,,,,,,1994,,1987,,,,,,El Sombrero (New Earth),2245,,Bad Characters,,,Male Characters,,Living Characters,10,"2008, June",2008,,,,,,,,,
Emrys Killebrew (Earth-616),2246,Public Identity,Neutral Characters,Blue Eyes,Grey Hair,Male Characters,,Deceased Characters,16,Aug-94,1994,,,,,,,,,,,1994,,1987,,,,,,Frankie the Monkey (New Earth),2246,,Good Characters,,Brown Hair,Male Characters,,Living Characters,10,"2008, May",2008,,,,,,,,,
Gregor (Earth-616),2247,Secret Identity,Bad Characters,,Bald,Male Characters,,Living Characters,16,Jun-94,1994,,,,,,,,,,,1994,,1987,,,,,,Kraken (New Earth),2247,Public Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,10,"2008, January",2008,,,,,,,,,
Llyron McKenzie (Earth-616),2248,Public Identity,,Blue Eyes,Black Hair,Male Characters,,Living Characters,16,Sep-94,1994,,,,,,,,,,,1994,,1987,,,,,,Liana Kerzner (New Earth),2248,Public Identity,Neutral Characters,Blue Eyes,Red Hair,Female Characters,Homosexual Characters,Living Characters,10,"2008, November",2008,,,,,,,,,
Piezo-electrical Logistic Analytical Tactical Operator (Earth-616),2249,Secret Identity,Good Characters,,,Male Characters,,Living Characters,16,Jul-94,1994,,,,,,,,,,,1994,,1987,,,,,,Martin Suarez (New Earth),2249,Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,10,"2008, November",2008,,,,,,,,,
